type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2020-09-20 01:41:33,25.71903670,-100.37506162,6,585.000,,0.000,,11,18,20200919-204133,GPS Logger: 20200919-204133
T,2020-09-20 01:41:34,25.71903092,-100.37506281,6,586.000,,0.000,,11,19,,
T,2020-09-20 01:41:35,25.71904882,-100.37502233,6,585.000,,0.000,,11,19,,
T,2020-09-20 01:41:36,25.71906036,-100.37500641,5,584.000,,0.000,,11,19,,
T,2020-09-20 01:41:37,25.71906714,-100.37499367,5,584.000,,0.000,,11,19,,
T,2020-09-20 01:41:38,25.71907203,-100.37498517,5,584.000,,0.000,,11,19,,
T,2020-09-20 01:41:39,25.71907260,-100.37498627,5,584.000,,0.000,,11,19,,
T,2020-09-20 01:41:40,25.71907436,-100.37498475,5,584.000,,0.000,,11,19,,
T,2020-09-20 01:41:41,25.71907409,-100.37498498,5,584.000,,0.000,,11,19,,
T,2020-09-20 01:41:42,25.71906833,-100.37498312,5,586.000,,0.580,170,12,19,,
T,2020-09-20 01:41:43,25.71905854,-100.37497615,5,587.000,,1.120,170,12,19,,
T,2020-09-20 01:41:44,25.71904690,-100.37497287,5,587.000,,1.420,167,12,19,,
T,2020-09-20 01:41:45,25.71903322,-100.37496767,5,588.000,,1.440,167,12,19,,
T,2020-09-20 01:41:46,25.71902272,-100.37495722,5,589.000,,1.510,155,12,19,,
T,2020-09-20 01:41:47,25.71900928,-100.37495638,5,588.000,,1.510,155,12,18,,
T,2020-09-20 01:41:48,25.71899516,-100.37494767,5,588.000,,1.760,141,12,18,,
T,2020-09-20 01:41:49,25.71897863,-100.37493309,5,588.000,,2.200,136,11,18,,
T,2020-09-20 01:41:50,25.71897077,-100.37490942,5,588.000,,2.360,115,12,18,,
T,2020-09-20 01:41:51,25.71896234,-100.37488188,5,588.000,,2.690,105,12,18,,
T,2020-09-20 01:41:52,25.71895908,-100.37484829,5,588.000,,3.040,96,12,18,,
T,2020-09-20 01:41:53,25.71895786,-100.37481408,5,588.000,,3.420,92,12,18,,
T,2020-09-20 01:41:54,25.71895602,-100.37477285,5,589.000,,3.930,93,12,18,,
T,2020-09-20 01:41:55,25.71894791,-100.37473183,5,588.000,,4.230,97,12,18,,
T,2020-09-20 01:41:56,25.71893969,-100.37468967,5,588.000,,4.240,103,12,18,,
T,2020-09-20 01:41:57,25.71891932,-100.37465887,5,588.000,,3.920,126,11,18,,
T,2020-09-20 01:41:58,25.71888656,-100.37464161,5,588.000,,3.690,149,11,18,,
T,2020-09-20 01:41:59,25.71884698,-100.37463735,5,589.000,,4.210,168,12,18,,
T,2020-09-20 01:42:00,25.71880093,-100.37463357,5,589.000,,4.680,172,12,18,,
T,2020-09-20 01:42:01,25.71875436,-100.37462733,5,589.000,,5.130,174,12,18,,
T,2020-09-20 01:42:02,25.71870732,-100.37462151,5,589.000,,5.440,175,12,18,,
T,2020-09-20 01:42:03,25.71865619,-100.37462085,5,588.000,,5.480,176,12,18,,
T,2020-09-20 01:42:04,25.71860745,-100.37461971,5,588.000,,5.390,176,12,18,,
T,2020-09-20 01:42:05,25.71855591,-100.37461792,5,588.000,,5.360,176,13,18,,
T,2020-09-20 01:42:06,25.71850712,-100.37460809,5,588.000,,5.360,169,13,18,,
T,2020-09-20 01:42:07,25.71846656,-100.37460733,5,587.000,,4.740,175,13,18,,
T,2020-09-20 01:42:08,25.71842187,-100.37460172,5,587.000,,5.010,174,13,18,,
T,2020-09-20 01:42:09,25.71836657,-100.37459345,5,588.000,,5.880,173,13,18,,
T,2020-09-20 01:42:10,25.71830615,-100.37458450,5,588.000,,6.630,172,13,18,,
T,2020-09-20 01:42:11,25.71824070,-100.37457595,5,588.000,,7.250,173,13,18,,
T,2020-09-20 01:42:12,25.71817304,-100.37456487,5,589.000,,7.690,174,10,18,,
T,2020-09-20 01:42:13,25.71810186,-100.37455598,5,589.000,,8.070,174,10,18,,
T,2020-09-20 01:42:14,25.71802646,-100.37454470,5,589.000,,8.450,174,10,18,,
T,2020-09-20 01:42:15,25.71794794,-100.37453529,5,590.000,,8.780,173,10,18,,
T,2020-09-20 01:42:16,25.71786657,-100.37452647,5,590.000,,9.190,174,11,18,,
T,2020-09-20 01:42:17,25.71778094,-100.37451868,5,590.000,,9.390,175,12,18,,
T,2020-09-20 01:42:18,25.71769380,-100.37450761,5,590.000,,9.630,174,12,18,,
T,2020-09-20 01:42:19,25.71760737,-100.37449390,5,590.000,,9.550,174,12,18,,
T,2020-09-20 01:42:20,25.71752549,-100.37448702,5,591.000,,9.140,175,12,18,,
T,2020-09-20 01:42:21,25.71744570,-100.37448261,5,591.000,,8.720,178,12,18,,
T,2020-09-20 01:42:22,25.71737618,-100.37447919,5,591.000,,7.730,178,12,18,,
T,2020-09-20 01:42:23,25.71731482,-100.37447986,5,591.000,,6.510,179,11,18,,
T,2020-09-20 01:42:24,25.71726338,-100.37448376,5,590.000,,5.210,179,11,18,,
T,2020-09-20 01:42:25,25.71722490,-100.37448246,5,590.000,,4.220,176,11,18,,
T,2020-09-20 01:42:26,25.71719351,-100.37447809,5,589.000,,3.810,174,12,18,,
T,2020-09-20 01:42:27,25.71715446,-100.37447216,5,589.000,,4.150,171,12,18,,
T,2020-09-20 01:42:28,25.71711046,-100.37446017,5,588.000,,4.930,168,12,18,,
T,2020-09-20 01:42:29,25.71705776,-100.37444590,5,589.000,,5.820,166,12,18,,
T,2020-09-20 01:42:30,25.71700454,-100.37443310,5,589.000,,6.210,168,12,18,,
T,2020-09-20 01:42:31,25.71695634,-100.37442328,5,589.000,,5.590,171,12,18,,
T,2020-09-20 01:42:32,25.71692401,-100.37441754,5,590.000,,4.050,172,12,18,,
T,2020-09-20 01:42:33,25.71689418,-100.37441576,5,589.000,,3.300,174,12,18,,
T,2020-09-20 01:42:34,25.71686338,-100.37441183,5,590.000,,3.510,174,12,18,,
T,2020-09-20 01:42:35,25.71682521,-100.37440632,5,590.000,,4.440,173,12,18,,
T,2020-09-20 01:42:36,25.71677408,-100.37440087,5,590.000,,5.490,175,12,18,,
T,2020-09-20 01:42:37,25.71671737,-100.37439301,5,591.000,,6.490,174,12,18,,
T,2020-09-20 01:42:38,25.71665115,-100.37438395,5,591.000,,7.280,173,12,18,,
T,2020-09-20 01:42:39,25.71658118,-100.37437754,5,591.000,,7.880,174,12,18,,
T,2020-09-20 01:42:40,25.71650609,-100.37436828,5,592.000,,8.510,174,12,18,,
T,2020-09-20 01:42:41,25.71642527,-100.37436419,5,591.000,,8.910,174,12,18,,
T,2020-09-20 01:42:42,25.71634345,-100.37435521,5,591.000,,8.950,173,12,18,,
T,2020-09-20 01:42:43,25.71626086,-100.37434178,5,590.000,,9.030,174,12,18,,
T,2020-09-20 01:42:44,25.71618082,-100.37433617,5,590.000,,8.980,176,12,18,,
T,2020-09-20 01:42:45,25.71609774,-100.37432945,5,590.000,,9.230,177,12,18,,
T,2020-09-20 01:42:46,25.71601465,-100.37432577,5,590.000,,9.240,177,12,18,,
T,2020-09-20 01:42:47,25.71592946,-100.37432186,5,589.000,,9.460,178,12,18,,
T,2020-09-20 01:42:48,25.71584315,-100.37431904,5,590.000,,9.530,178,12,18,,
T,2020-09-20 01:42:49,25.71575551,-100.37431852,5,589.000,,9.630,178,12,18,,
T,2020-09-20 01:42:50,25.71566646,-100.37431745,5,589.000,,9.720,179,12,18,,
T,2020-09-20 01:42:51,25.71558114,-100.37431566,5,589.000,,9.540,179,12,18,,
T,2020-09-20 01:42:52,25.71549723,-100.37431397,5,589.000,,9.250,178,12,18,,
T,2020-09-20 01:42:53,25.71541511,-100.37431030,5,589.000,,8.900,178,13,18,,
T,2020-09-20 01:42:54,25.71533995,-100.37430795,5,589.000,,8.350,178,13,18,,
T,2020-09-20 01:42:55,25.71527104,-100.37430313,5,589.000,,7.620,178,13,18,,
T,2020-09-20 01:42:56,25.71521296,-100.37430089,5,589.000,,6.600,178,13,18,,
T,2020-09-20 01:42:57,25.71516225,-100.37429985,5,589.000,,5.620,178,13,18,,
T,2020-09-20 01:42:58,25.71512614,-100.37429837,5,589.000,,4.240,179,13,18,,
T,2020-09-20 01:42:59,25.71510681,-100.37429868,5,589.000,,2.390,179,13,18,,
T,2020-09-20 01:43:00,25.71509086,-100.37429713,5,589.000,,2.090,178,13,18,,
T,2020-09-20 01:43:01,25.71506764,-100.37429837,5,589.000,,2.590,178,13,18,,
T,2020-09-20 01:43:02,25.71503351,-100.37429678,5,590.000,,3.700,177,13,18,,
T,2020-09-20 01:43:03,25.71499251,-100.37429761,5,590.000,,4.560,179,13,18,,
T,2020-09-20 01:43:04,25.71494386,-100.37429398,5,590.000,,5.420,178,13,18,,
T,2020-09-20 01:43:05,25.71489095,-100.37428813,5,590.000,,6.020,175,13,18,,
T,2020-09-20 01:43:06,25.71483089,-100.37428122,5,590.000,,6.480,173,13,18,,
T,2020-09-20 01:43:07,25.71477169,-100.37427907,5,590.000,,6.420,178,12,18,,
T,2020-09-20 01:43:08,25.71472553,-100.37428640,5,590.000,,5.130,184,12,18,,
T,2020-09-20 01:43:09,25.71468934,-100.37429274,5,590.000,,3.980,186,12,18,,
T,2020-09-20 01:43:10,25.71465252,-100.37429808,5,590.000,,3.740,185,12,18,,
T,2020-09-20 01:43:11,25.71461368,-100.37429946,5,589.000,,4.080,182,12,18,,
T,2020-09-20 01:43:12,25.71457170,-100.37429525,5,590.000,,4.830,178,12,18,,
T,2020-09-20 01:43:13,25.71452066,-100.37429538,5,590.000,,5.550,177,12,18,,
T,2020-09-20 01:43:14,25.71446301,-100.37429004,5,590.000,,6.300,176,12,18,,
T,2020-09-20 01:43:15,25.71440145,-100.37428441,5,590.000,,6.880,176,12,18,,
T,2020-09-20 01:43:16,25.71433090,-100.37427733,5,591.000,,7.380,175,12,18,,
T,2020-09-20 01:43:17,25.71426169,-100.37427204,5,591.000,,7.890,177,12,18,,
T,2020-09-20 01:43:18,25.71418331,-100.37426966,5,591.000,,8.470,178,12,18,,
T,2020-09-20 01:43:19,25.71410135,-100.37426693,5,592.000,,8.860,179,12,18,,
T,2020-09-20 01:43:20,25.71401688,-100.37427015,5,591.000,,9.180,180,12,18,,
T,2020-09-20 01:43:21,25.71393419,-100.37428097,5,591.000,,9.290,185,12,18,,
T,2020-09-20 01:43:22,25.71384960,-100.37429688,5,592.000,,9.430,190,12,18,,
T,2020-09-20 01:43:23,25.71376664,-100.37432309,5,592.000,,9.530,196,12,18,,
T,2020-09-20 01:43:24,25.71368767,-100.37436044,5,592.000,,9.550,204,12,18,,
T,2020-09-20 01:43:25,25.71361265,-100.37441254,5,592.000,,9.680,210,12,18,,
T,2020-09-20 01:43:26,25.71353607,-100.37446805,5,592.000,,9.730,215,12,18,,
T,2020-09-20 01:43:27,25.71347138,-100.37452757,5,593.000,,9.600,220,12,18,,
T,2020-09-20 01:43:28,25.71341548,-100.37459449,5,593.000,,9.430,227,12,18,,
T,2020-09-20 01:43:29,25.71336093,-100.37466617,5,593.000,,9.280,231,12,18,,
T,2020-09-20 01:43:30,25.71332012,-100.37475029,5,593.000,,9.630,241,12,18,,
T,2020-09-20 01:43:31,25.71327846,-100.37484018,5,594.000,,9.780,243,12,18,,
T,2020-09-20 01:43:32,25.71323829,-100.37493014,5,595.000,,9.930,244,12,18,,
T,2020-09-20 01:43:33,25.71319576,-100.37502003,5,595.000,,10.230,244,12,18,,
T,2020-09-20 01:43:34,25.71315577,-100.37511608,5,596.000,,10.360,244,12,18,,
T,2020-09-20 01:43:35,25.71311690,-100.37521121,5,597.000,,10.580,244,12,18,,
T,2020-09-20 01:43:36,25.71306790,-100.37530747,5,597.000,,10.840,243,12,18,,
T,2020-09-20 01:43:37,25.71302045,-100.37540886,5,598.000,,11.100,243,12,18,,
T,2020-09-20 01:43:38,25.71297472,-100.37551099,5,598.000,,11.290,243,13,18,,
T,2020-09-20 01:43:39,25.71292757,-100.37561363,5,599.000,,11.420,243,13,18,,
T,2020-09-20 01:43:40,25.71287762,-100.37571861,5,599.000,,11.580,243,13,18,,
T,2020-09-20 01:43:41,25.71282936,-100.37582070,5,599.000,,11.530,243,13,18,,
T,2020-09-20 01:43:42,25.71278399,-100.37592204,5,600.000,,11.450,242,13,18,,
T,2020-09-20 01:43:43,25.71273619,-100.37602322,5,600.000,,11.230,242,13,18,,
T,2020-09-20 01:43:44,25.71268494,-100.37612085,5,600.000,,11.110,242,12,18,,
T,2020-09-20 01:43:45,25.71263558,-100.37621138,5,601.000,,10.950,239,12,18,,
T,2020-09-20 01:43:46,25.71258205,-100.37630791,5,602.000,,11.040,238,12,18,,
T,2020-09-20 01:43:47,25.71253658,-100.37639660,5,602.000,,10.230,239,12,18,,
T,2020-09-20 01:43:48,25.71249796,-100.37647631,5,602.000,,9.320,240,12,18,,
T,2020-09-20 01:43:49,25.71246155,-100.37655266,5,603.000,,8.770,241,12,18,,
T,2020-09-20 01:43:50,25.71243044,-100.37662436,5,603.000,,8.090,244,12,18,,
T,2020-09-20 01:43:51,25.71240290,-100.37669338,5,604.000,,7.550,246,12,18,,
T,2020-09-20 01:43:52,25.71238270,-100.37676190,5,604.000,,7.420,249,12,18,,
T,2020-09-20 01:43:53,25.71236011,-100.37683165,5,604.000,,7.610,250,12,18,,
T,2020-09-20 01:43:54,25.71234272,-100.37690660,5,605.000,,7.690,255,12,18,,
T,2020-09-20 01:43:55,25.71233385,-100.37698183,5,606.000,,7.670,261,12,18,,
T,2020-09-20 01:43:56,25.71233052,-100.37705996,5,606.000,,7.680,266,12,18,,
T,2020-09-20 01:43:57,25.71232979,-100.37713691,5,606.000,,7.660,270,12,18,,
T,2020-09-20 01:43:58,25.71233075,-100.37721617,5,607.000,,7.450,271,12,18,,
T,2020-09-20 01:43:59,25.71232841,-100.37728688,5,607.000,,7.110,268,13,18,,
T,2020-09-20 01:44:00,25.71233104,-100.37735532,5,607.000,,6.920,271,13,18,,
T,2020-09-20 01:44:01,25.71231832,-100.37741009,5,608.000,,6.160,258,12,18,,
T,2020-09-20 01:44:02,25.71229552,-100.37746262,5,608.000,,5.960,246,12,18,,
T,2020-09-20 01:44:03,25.71225458,-100.37749774,5,609.000,,6.020,226,13,18,,
T,2020-09-20 01:44:04,25.71219969,-100.37751800,5,609.000,,6.090,206,13,18,,
T,2020-09-20 01:44:05,25.71214268,-100.37751241,5,610.000,,6.350,179,13,18,,
T,2020-09-20 01:44:06,25.71208902,-100.37747824,5,609.000,,6.400,153,13,18,,
T,2020-09-20 01:44:07,25.71203761,-100.37743411,5,609.000,,6.970,140,13,18,,
T,2020-09-20 01:44:08,25.71198479,-100.37737937,5,608.000,,7.670,138,13,18,,
T,2020-09-20 01:44:09,25.71192898,-100.37732187,5,608.000,,8.420,138,13,18,,
T,2020-09-20 01:44:10,25.71186909,-100.37725524,5,608.000,,9.140,136,13,18,,
T,2020-09-20 01:44:11,25.71180636,-100.37718915,5,607.000,,9.550,136,13,18,,
T,2020-09-20 01:44:12,25.71174295,-100.37712234,5,607.000,,9.680,138,13,18,,
T,2020-09-20 01:44:13,25.71167579,-100.37705553,5,608.000,,9.930,138,13,18,,
T,2020-09-20 01:44:14,25.71161300,-100.37698797,5,608.000,,9.950,137,13,18,,
T,2020-09-20 01:44:15,25.71154446,-100.37692202,5,608.000,,9.970,138,13,18,,
T,2020-09-20 01:44:16,25.71147080,-100.37685367,5,608.000,,10.060,138,13,18,,
T,2020-09-20 01:44:17,25.71140418,-100.37678539,5,608.000,,10.170,138,13,18,,
T,2020-09-20 01:44:18,25.71133521,-100.37671580,5,608.000,,10.220,137,13,18,,
T,2020-09-20 01:44:19,25.71126737,-100.37664327,5,607.000,,10.270,137,13,18,,
T,2020-09-20 01:44:20,25.71120117,-100.37657006,5,607.000,,10.290,136,13,18,,
T,2020-09-20 01:44:21,25.71113419,-100.37649875,5,607.000,,10.330,136,13,18,,
T,2020-09-20 01:44:22,25.71106436,-100.37642822,5,607.000,,10.430,137,13,18,,
T,2020-09-20 01:44:23,25.71099781,-100.37635830,5,606.000,,10.340,136,13,18,,
T,2020-09-20 01:44:24,25.71093426,-100.37628535,5,606.000,,10.390,136,13,18,,
T,2020-09-20 01:44:25,25.71086580,-100.37621514,5,607.000,,10.300,135,12,18,,
T,2020-09-20 01:44:26,25.71079989,-100.37613461,5,607.000,,10.560,135,13,18,,
T,2020-09-20 01:44:27,25.71073073,-100.37606279,5,607.000,,10.610,135,13,18,,
T,2020-09-20 01:44:28,25.71066171,-100.37598524,5,606.000,,10.760,135,13,18,,
T,2020-09-20 01:44:29,25.71059162,-100.37590848,5,605.000,,10.810,135,13,18,,
T,2020-09-20 01:44:30,25.71052112,-100.37583577,5,605.000,,10.930,136,13,18,,
T,2020-09-20 01:44:31,25.71044879,-100.37576109,5,604.000,,11.080,137,13,18,,
T,2020-09-20 01:44:32,25.71037533,-100.37568707,5,603.000,,11.090,136,13,18,,
T,2020-09-20 01:44:33,25.71030411,-100.37561229,5,602.000,,10.960,136,13,18,,
T,2020-09-20 01:44:34,25.71023483,-100.37553658,5,602.000,,10.820,136,13,18,,
T,2020-09-20 01:44:35,25.71016558,-100.37546207,5,602.000,,10.810,136,13,18,,
T,2020-09-20 01:44:36,25.71009497,-100.37538774,5,602.000,,10.750,136,13,18,,
T,2020-09-20 01:44:37,25.71002098,-100.37531448,5,601.000,,10.740,138,13,18,,
T,2020-09-20 01:44:38,25.70995330,-100.37524051,5,601.000,,10.610,136,13,18,,
T,2020-09-20 01:44:39,25.70988435,-100.37517023,5,601.000,,10.390,136,13,18,,
T,2020-09-20 01:44:40,25.70981359,-100.37510193,5,600.000,,10.250,138,13,18,,
T,2020-09-20 01:44:41,25.70974417,-100.37503070,5,599.000,,10.400,137,13,18,,
T,2020-09-20 01:44:42,25.70967884,-100.37495747,5,599.000,,10.430,136,13,18,,
T,2020-09-20 01:44:43,25.70960668,-100.37487989,5,599.000,,10.440,136,13,18,,
T,2020-09-20 01:44:44,25.70953814,-100.37480616,5,598.000,,10.180,137,13,18,,
T,2020-09-20 01:44:45,25.70947040,-100.37473662,5,597.000,,9.800,137,13,18,,
T,2020-09-20 01:44:46,25.70940847,-100.37467446,5,597.000,,9.370,137,13,18,,
T,2020-09-20 01:44:47,25.70935227,-100.37461401,5,596.000,,8.620,137,13,18,,
T,2020-09-20 01:44:48,25.70930059,-100.37456210,5,596.000,,7.470,137,13,18,,
T,2020-09-20 01:44:49,25.70925641,-100.37451730,5,596.000,,6.630,137,13,18,,
T,2020-09-20 01:44:50,25.70921893,-100.37447727,5,596.000,,6.120,136,13,18,,
T,2020-09-20 01:44:51,25.70917888,-100.37443256,5,597.000,,6.100,134,13,18,,
T,2020-09-20 01:44:52,25.70914103,-100.37438589,5,597.000,,6.100,132,13,18,,
T,2020-09-20 01:44:53,25.70910527,-100.37433529,5,597.000,,5.870,131,13,18,,
T,2020-09-20 01:44:54,25.70907439,-100.37429783,5,596.000,,5.040,133,13,18,,
T,2020-09-20 01:44:55,25.70904746,-100.37426489,5,596.000,,4.370,130,13,18,,
T,2020-09-20 01:44:56,25.70902950,-100.37424303,5,594.000,,3.840,129,13,18,,
T,2020-09-20 01:44:57,25.70901680,-100.37422184,5,593.000,,3.290,129,13,18,,
T,2020-09-20 01:44:58,25.70900343,-100.37419691,5,593.000,,2.910,129,13,18,,
T,2020-09-20 01:44:59,25.70899483,-100.37417944,5,593.000,,1.950,129,13,18,,
T,2020-09-20 01:45:00,25.70899060,-100.37417629,5,593.000,,0.650,128,13,18,,
T,2020-09-20 01:45:01,25.70898774,-100.37417578,5,593.000,,0.340,128,13,18,,
T,2020-09-20 01:45:02,25.70898763,-100.37417862,5,593.000,,0.000,,13,18,,
T,2020-09-20 01:45:03,25.70898811,-100.37417955,5,593.000,,0.000,,13,18,,
T,2020-09-20 01:45:04,25.70899059,-100.37417348,5,593.000,,0.350,128,13,18,,
T,2020-09-20 01:45:05,25.70898104,-100.37415601,5,593.000,,1.910,126,13,18,,
T,2020-09-20 01:45:06,25.70896490,-100.37412201,5,593.000,,3.800,126,13,18,,
T,2020-09-20 01:45:07,25.70893191,-100.37407910,5,594.000,,5.290,128,13,18,,
T,2020-09-20 01:45:08,25.70889213,-100.37403442,5,593.000,,6.610,130,13,18,,
T,2020-09-20 01:45:09,25.70884321,-100.37397719,5,593.000,,7.890,132,13,18,,
T,2020-09-20 01:45:10,25.70878507,-100.37390696,5,593.000,,9.400,134,13,18,,
T,2020-09-20 01:45:11,25.70871581,-100.37383034,5,593.000,,10.540,135,13,18,,
T,2020-09-20 01:45:12,25.70864367,-100.37374720,5,593.000,,11.540,136,13,18,,
T,2020-09-20 01:45:13,25.70855977,-100.37366340,5,592.000,,12.460,137,13,18,,
T,2020-09-20 01:45:14,25.70847013,-100.37357539,5,591.000,,13.350,138,13,18,,
T,2020-09-20 01:45:15,25.70837412,-100.37348053,5,591.000,,13.990,138,13,18,,
T,2020-09-20 01:45:16,25.70827754,-100.37338455,5,591.000,,14.320,138,13,18,,
T,2020-09-20 01:45:17,25.70817613,-100.37328808,5,591.000,,14.640,139,13,18,,
T,2020-09-20 01:45:18,25.70807410,-100.37318985,5,590.000,,14.900,138,13,18,,
T,2020-09-20 01:45:19,25.70797241,-100.37308772,5,590.000,,15.220,138,13,18,,
T,2020-09-20 01:45:20,25.70787150,-100.37298248,5,589.000,,15.400,137,13,18,,
T,2020-09-20 01:45:21,25.70777416,-100.37287228,5,589.000,,15.530,136,13,18,,
T,2020-09-20 01:45:22,25.70767392,-100.37276271,5,589.000,,15.620,134,13,18,,
T,2020-09-20 01:45:23,25.70757608,-100.37265243,5,589.000,,15.460,135,13,18,,
T,2020-09-20 01:45:24,25.70748311,-100.37253937,5,589.000,,15.410,133,13,18,,
T,2020-09-20 01:45:25,25.70739381,-100.37241992,5,589.000,,15.430,131,13,18,,
T,2020-09-20 01:45:26,25.70730046,-100.37230344,5,589.000,,15.500,130,13,18,,
T,2020-09-20 01:45:27,25.70720593,-100.37219515,5,590.000,,15.390,132,13,18,,
T,2020-09-20 01:45:28,25.70710896,-100.37208047,5,590.000,,15.780,133,13,18,,
T,2020-09-20 01:45:29,25.70700594,-100.37197182,5,589.000,,15.910,136,13,18,,
T,2020-09-20 01:45:30,25.70689997,-100.37186086,5,589.000,,16.140,137,13,18,,
T,2020-09-20 01:45:31,25.70678859,-100.37174610,5,589.000,,16.400,136,13,18,,
T,2020-09-20 01:45:32,25.70668076,-100.37163009,5,589.000,,16.650,136,13,18,,
T,2020-09-20 01:45:33,25.70657095,-100.37151280,5,589.000,,16.850,136,13,18,,
T,2020-09-20 01:45:34,25.70645710,-100.37140063,5,589.000,,16.910,137,13,18,,
T,2020-09-20 01:45:35,25.70634961,-100.37128394,5,589.000,,16.770,137,13,18,,
T,2020-09-20 01:45:36,25.70623794,-100.37117173,5,589.000,,16.610,137,13,18,,
T,2020-09-20 01:45:37,25.70613202,-100.37105524,5,590.000,,16.480,137,13,18,,
T,2020-09-20 01:45:38,25.70602416,-100.37094449,5,590.000,,16.430,137,13,18,,
T,2020-09-20 01:45:39,25.70592273,-100.37083024,5,589.000,,16.420,136,13,18,,
T,2020-09-20 01:45:40,25.70581002,-100.37071473,5,588.000,,16.560,137,13,18,,
T,2020-09-20 01:45:41,25.70569677,-100.37059707,5,587.000,,17.010,136,12,18,,
T,2020-09-20 01:45:42,25.70558802,-100.37047705,5,587.000,,17.370,136,12,18,,
T,2020-09-20 01:45:43,25.70547276,-100.37035279,5,585.000,,17.680,136,13,18,,
T,2020-09-20 01:45:44,25.70535470,-100.37022495,5,585.000,,18.120,136,13,18,,
T,2020-09-20 01:45:45,25.70523685,-100.37010006,5,583.000,,18.160,137,13,18,,
T,2020-09-20 01:45:46,25.70511587,-100.36997282,5,583.000,,18.450,137,13,18,,
T,2020-09-20 01:45:47,25.70499967,-100.36984996,5,582.000,,18.060,137,13,18,,
T,2020-09-20 01:45:48,25.70487249,-100.36970590,5,582.000,,19.510,135,13,18,,
T,2020-09-20 01:45:49,25.70475002,-100.36957059,6,582.000,,19.460,135,12,18,,
T,2020-09-20 01:45:50,25.70462476,-100.36944512,6,582.000,,18.710,137,12,18,,
T,2020-09-20 01:45:51,25.70450469,-100.36932202,5,582.000,,18.480,137,12,18,,
T,2020-09-20 01:45:52,25.70437573,-100.36918920,5,582.000,,18.610,136,12,18,,
T,2020-09-20 01:45:53,25.70424861,-100.36905829,5,582.000,,18.630,136,12,18,,
T,2020-09-20 01:45:54,25.70413004,-100.36892720,5,584.000,,18.660,136,12,18,,
T,2020-09-20 01:45:55,25.70401313,-100.36879683,5,584.000,,18.680,137,12,18,,
T,2020-09-20 01:45:56,25.70388967,-100.36866894,5,584.000,,18.780,137,13,18,,
T,2020-09-20 01:45:57,25.70376626,-100.36853634,5,584.000,,19.000,137,11,18,,
T,2020-09-20 01:45:58,25.70364152,-100.36840116,5,584.000,,19.280,136,11,18,,
T,2020-09-20 01:45:59,25.70351612,-100.36826770,5,584.000,,19.540,136,12,18,,
T,2020-09-20 01:46:00,25.70338525,-100.36813862,5,583.000,,19.540,136,13,18,,
T,2020-09-20 01:46:01,25.70325599,-100.36800944,5,582.000,,19.370,137,13,18,,
T,2020-09-20 01:46:02,25.70313334,-100.36788068,5,582.000,,19.110,137,13,18,,
T,2020-09-20 01:46:03,25.70300581,-100.36775566,5,581.000,,18.930,137,13,18,,
T,2020-09-20 01:46:04,25.70288162,-100.36762808,5,580.000,,18.830,137,13,18,,
T,2020-09-20 01:46:05,25.70276218,-100.36749646,5,580.000,,18.790,136,13,18,,
T,2020-09-20 01:46:06,25.70264599,-100.36736409,5,579.000,,18.770,134,13,18,,
T,2020-09-20 01:46:07,25.70253251,-100.36722463,5,579.000,,18.690,132,13,18,,
T,2020-09-20 01:46:08,25.70242901,-100.36708162,5,579.000,,18.570,129,13,18,,
T,2020-09-20 01:46:09,25.70232696,-100.36693632,5,579.000,,18.370,128,13,18,,
T,2020-09-20 01:46:10,25.70222531,-100.36679724,5,579.000,,18.150,127,13,18,,
T,2020-09-20 01:46:11,25.70212673,-100.36665818,5,580.000,,17.910,127,13,18,,
T,2020-09-20 01:46:12,25.70202873,-100.36651988,5,580.000,,17.510,127,13,18,,
T,2020-09-20 01:46:13,25.70193445,-100.36638373,5,580.000,,17.280,127,13,18,,
T,2020-09-20 01:46:14,25.70184455,-100.36624961,5,579.000,,17.160,127,13,18,,
T,2020-09-20 01:46:15,25.70175328,-100.36611008,5,579.000,,17.240,126,13,18,,
T,2020-09-20 01:46:16,25.70166409,-100.36596313,5,578.000,,17.490,124,13,18,,
T,2020-09-20 01:46:17,25.70157662,-100.36581447,5,578.000,,17.690,122,13,18,,
T,2020-09-20 01:46:18,25.70149139,-100.36566315,5,577.000,,17.850,122,13,18,,
T,2020-09-20 01:46:19,25.70140767,-100.36551333,5,577.000,,17.800,122,13,18,,
T,2020-09-20 01:46:20,25.70132882,-100.36536126,5,577.000,,17.720,121,13,18,,
T,2020-09-20 01:46:21,25.70124066,-100.36521482,5,578.000,,17.690,122,13,18,,
T,2020-09-20 01:46:22,25.70115425,-100.36505502,5,579.000,,18.020,121,13,18,,
T,2020-09-20 01:46:23,25.70107343,-100.36490243,5,579.000,,17.540,121,13,18,,
T,2020-09-20 01:46:24,25.70098950,-100.36475431,5,580.000,,17.390,121,13,18,,
T,2020-09-20 01:46:25,25.70091128,-100.36460610,5,581.000,,17.290,121,13,18,,
T,2020-09-20 01:46:26,25.70083128,-100.36445210,5,581.000,,17.290,120,13,18,,
T,2020-09-20 01:46:27,25.70075274,-100.36430089,5,582.000,,17.390,120,13,18,,
T,2020-09-20 01:46:28,25.70067868,-100.36414827,5,582.000,,17.580,120,13,18,,
